# evals,fx,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19
5.000000000000000000e+01,1.027524873091591040e+01,-9.448167101600475348e+00,2.456680153059791394e+01,4.799030355957893335e+01,-1.626731396363183535e+01,-2.647647498647000930e+01,-6.619423788184951718e+01,5.877448132696142125e+01,6.660748171688547359e+01,4.684259746107059641e+01,7.505891600473657377e+01,2.961128839516268840e+01,3.921323495413145110e+01,-6.139638394668047994e+01,5.352644698786161825e+01,-3.318342113953218586e+01,-1.240815878744434997e+01,-3.622595204828498083e+01,1.365793378545325254e+01,3.173847028661768377e+01,1.511170821104690276e+01
1.000000000000000000e+02,1.027524873091591040e+01,-9.448167101600475348e+00,2.456680153059791394e+01,4.799030355957893335e+01,-1.626731396363183535e+01,-2.647647498647000930e+01,-6.619423788184951718e+01,5.877448132696142125e+01,6.660748171688547359e+01,4.684259746107059641e+01,7.505891600473657377e+01,2.961128839516268840e+01,3.921323495413145110e+01,-6.139638394668047994e+01,5.352644698786161825e+01,-3.318342113953218586e+01,-1.240815878744434997e+01,-3.622595204828498083e+01,1.365793378545325254e+01,3.173847028661768377e+01,1.511170821104690276e+01
1.500000000000000000e+02,1.027524873091591040e+01,-9.448167101600475348e+00,2.456680153059791394e+01,4.799030355957893335e+01,-1.626731396363183535e+01,-2.647647498647000930e+01,-6.619423788184951718e+01,5.877448132696142125e+01,6.660748171688547359e+01,4.684259746107059641e+01,7.505891600473657377e+01,2.961128839516268840e+01,3.921323495413145110e+01,-6.139638394668047994e+01,5.352644698786161825e+01,-3.318342113953218586e+01,-1.240815878744434997e+01,-3.622595204828498083e+01,1.365793378545325254e+01,3.173847028661768377e+01,1.511170821104690276e+01
2.000000000000000000e+02,1.016902581507819647e+01,1.909733809261085469e+01,-5.136072141235052158e+01,-4.575094788326039463e+01,-3.569523718156262504e+01,8.956063028988971553e+00,-1.375626375270307733e+00,-3.708726892862741664e+01,-3.567541007806346443e+01,-7.101610761909790881e+01,5.651109505075510242e+01,-8.025671768475994838e-01,1.117291938637625037e+01,-1.493382135488067775e+01,4.782830350383261475e+01,-9.338383429815212367e+01,1.119760061739363266e+00,-8.883962980648078656e+00,8.163235127074928243e+01,-2.344333041138480311e+01,2.624721803589002178e+01
2.500000000000000000e+02,9.336404951045130574e+00,-1.434892877758812801e+00,3.498308225002514149e+00,1.245732532047480845e+01,3.683230826271418579e+01,8.595164940420175981e+00,-6.499794339359743844e+01,-7.084774240313076632e+01,1.196972204050183564e+00,-5.563451651759879724e+01,2.006654416756436632e+01,4.405227793949649140e+01,1.323009275174113242e+01,-7.666617875780873703e+01,1.220679891637836079e+01,-7.513845465007639746e+01,1.535172517597039743e+01,-1.608058180271862625e+01,-1.807562522865135435e+01,-3.040506162830497061e+01,-5.889401451281033673e+01
3.000000000000000000e+02,9.259221183861846782e+00,-3.390591735421786268e-01,-7.457262014592785704e+01,-6.669326689715158807e+01,-1.763955285093571490e+01,8.595164940420175981e+00,-1.810551039998947687e+01,-4.460799921326755424e+01,1.803534895779016267e+00,-5.563451651759879724e+01,5.725609596836913795e+01,5.954924855038388642e+00,1.443647796575706366e+01,-3.260273358213986228e+01,2.619759840173421850e+01,-9.168262719362429891e+01,9.101612430131602594e-01,-4.842107112397518875e+01,-1.807562522865135435e+01,3.235787557628857058e+00,2.944581373478709807e+01
3.500000000000000000e+02,9.084589584783136829e+00,2.094390325699746569e+01,4.535904376835827634e+01,2.480710304370690267e+01,3.516314612301704301e+01,3.258194039393275432e+01,-1.129104785113612621e+02,3.405016582197420405e+01,4.492210648165549713e+01,-3.826671659117685920e+00,4.162037459672431794e+01,8.076413380731366942e+00,-1.301387670095905946e+00,1.240781085706305475e+01,3.906261603715532971e+01,-3.300980989052932557e+01,3.873533240359127916e+01,4.222842699415501500e+01,4.489528200661020207e+01,1.797947790612715835e+01,2.822582475578295202e+01
4.000000000000000000e+02,9.075420316749037042e+00,-4.513241112368117314e+01,-1.477521343550627364e+00,-2.796225709028362161e+01,3.459799165234080220e+01,-6.683279987414685763e+00,-1.141697921998555501e+02,5.053383063558755595e+01,-1.609001617701631659e+01,-2.860158370095509994e+01,2.456822973035466617e+01,1.760837303900750328e+01,-4.996686168359154578e+00,7.108159639431247001e+01,-3.673925791126120544e+01,-3.669351130148140783e+01,-1.289141488789565670e+01,4.337851806040570324e+01,6.396259139097686841e+00,1.052473110405695955e+01,2.620444367312419232e+01
4.500000000000000000e+02,9.075420316749037042e+00,-4.513241112368117314e+01,-1.477521343550627364e+00,-2.796225709028362161e+01,3.459799165234080220e+01,-6.683279987414685763e+00,-1.141697921998555501e+02,5.053383063558755595e+01,-1.609001617701631659e+01,-2.860158370095509994e+01,2.456822973035466617e+01,1.760837303900750328e+01,-4.996686168359154578e+00,7.108159639431247001e+01,-3.673925791126120544e+01,-3.669351130148140783e+01,-1.289141488789565670e+01,4.337851806040570324e+01,6.396259139097686841e+00,1.052473110405695955e+01,2.620444367312419232e+01
5.000000000000000000e+02,9.075420316749037042e+00,-4.513241112368117314e+01,-1.477521343550627364e+00,-2.796225709028362161e+01,3.459799165234080220e+01,-6.683279987414685763e+00,-1.141697921998555501e+02,5.053383063558755595e+01,-1.609001617701631659e+01,-2.860158370095509994e+01,2.456822973035466617e+01,1.760837303900750328e+01,-4.996686168359154578e+00,7.108159639431247001e+01,-3.673925791126120544e+01,-3.669351130148140783e+01,-1.289141488789565670e+01,4.337851806040570324e+01,6.396259139097686841e+00,1.052473110405695955e+01,2.620444367312419232e+01
